Station ID	Station.Code	Station name	Station ID	Station Code	longitude	latitude	Catch_area_km2	runoff_mm/yr	Depth (m)	Lake_area_km2	Forest_Area %	Cultivated_Area %	Peat_Area %	Glacier_Area %	Water_ex_lake_Area %	Heath_Area %	Lake_Area %	Res_time_years
9	101-2-7	Hokksj?en	9	101-2-7	11.5599	59.0051	5.5	653	1.7	0.12	87.1	0	7.7	0	2.9	2.3	2.2	0.5
10	221-1-2	Langtjern	10	221-1-2	11.8506	59.8099	0.43	532	2.42	0.05	58.8	0	35.3	0	0	5.9	11.7	0.53
11	402-2-13	S?ertjern	11	402-2-13	12.4437	60.0578	1.57	501	1.9	0.13	80.5	0	10.7	0	2.4	6.4	8.3	0.5
12	419-1-25	Mj?gsj?en	12	419-1-25	11.8453	60.332	1.02	488	3.81	0.06	73.8	0	15.2	0	1.5	9.5	5.9	0.5
13	425-2-2	Kottern	13	425-2-2	12.512	60.5873	2.13	503	1.33	0.16	86.5	0	5.5	0	0	8	7.5	0.5
14	432-1-26	M?abutj?rna	14	432-1-26	11.186	61.8206	0.4	583	2.61	0.06	90.2	0	0	0	0	9.8	15	0.67
15	436-1-7	HOH 1066	15	436-1-7	11.1377	62.235	0.2	559	0.25	0.04	0	0	3	0	0	97	20.4	0.5
16	438-1-13	Brennvoltj?rna	16	438-1-13	10.7806	61.9828	0.65	495	1.55	0.06	43.6	0	14.5	0	4.1	37.8	9.2	0.5
17	512-1-26	HOH 1374	17	512-1-26	9.0778	62.3262	0.36	1075	1.55	0.04	0	0	0	0	0.8	99.2	11.1	0.5
18	512-2-7	Kjelsungvatnet	18	512-2-7	9.1489	62.2355	18.45	850	3.4	0.11	0	0	0	0.1	2.1	97.8	0.6	0.5
19	513-2-18	Nedre S?vertj?rni	19	513-2-18	7.6993	61.8604	15.6	1229	13.11	0.65	0	0	0	16	4.7	79.3	4.2	0.5
20	513-3-14	Liavatnet	20	513-3-14	7.7655	61.8636	210.74	1005	20.14	2.61	5.6	0	0.2	9.9	3	81.3	1.2	0.5
21	514-2-16	Skuggevatnet	21	514-2-16	7.9947	61.5926	3.33	1498	9.38	0.24	0	0	0	0	2.9	97.1	7.2	0.5
22	538-1-33	H?gkampvatnet	22	538-1-33	9.8146	61.0665	0.31	944	5.34	0.1	0	0	0	0	0	100	32.3	1.82
23	540-3-13	Nevlingen	23	540-3-13	9.4808	60.5296	171.5	677	14.53	1.5	82.5	0	1	0	7.6	8.9	0.9	0.5
24	545-1-15	HOH 1398	24	545-1-15	8.4646	61.1986	0.6	943	4.1	0.07	0	0	0	0	0	100	11.7	0.51
25	604-1-7	Korstjernet	25	604-1-7	9.6336	59.524	0.34	1132	3.09	0.05	0	0	0	0	3.1	96.9	14.5	0.5
26	604-3-3	Hengsvatnet	26	604-3-3	9.4422	59.654	21.53	592	11.93	1.01	83	0	0.5	0	3.8	12.7	4.7	0.95
27	631-2-7	Mjovatnet	27	631-2-7	9.3365	59.8361	12.1	982	7.32	0.13	19	0	33.3	0	6.2	41.5	1.1	0.5
28	807-1-71	Surtetj?rn	28	807-1-71	9.1288	59.7705	3.86	686	6.85	0.09	63.5	0	0.3	0	1.2	35	2.3	0.5
29	817-1-10	Vihusvatnet	29	817-1-10	8.886	59.0772	0.29	890	1.98	0.05	71.4	0	14.3	0	0	14.3	17.5	0.5
30	829-1-13	Mj?atn	30	829-1-13	8.2628	59.309	0.96	844	4.77	0.08	25.3	0	0	0	0	74.7	8.4	0.5
31	830-1-24	Store Kleivtj?rn	31	830-1-24	8.6527	59.0243	0.87	811	4.58	0.07	75.7	0	7.1	0	7.1	10.1	8.1	0.5
32	833-2-21	Folurdkaldevatn	32	833-2-21	7.6002	59.3865	2.46	1354	8.5	0.17	0	0	0.4	0	4	95.6	6.9	0.5
33	834-1-12	Hemletj?rnane	33	834-1-12	7.5451	59.6097	21.43	1188	3.16	0.07	0	0	0.2	0	16	83.8	0.3	0.5
34	834-1-32	HOH 1394	34	834-1-32	7.9606	59.9359	0.57	1303	3.44	0.06	0	0	0	0	1.8	98.2	10.6	0.5
35	928-1-7	Lundevatnet	35	928-1-7	8.2175	58.4626	3.56	1226	1.91	0.07	88.3	0	6.9	0	2.4	2.4	2	0.5
36	928-2-20	Lille Hovvatn	36	928-2-20	8.0309	58.606	1.07	1374	3.96	0.22	76.3	0	0	0	0	23.7	20.6	0.59
37	935-1-19	F?etj?rn	37	935-1-19	7.9649	58.4256	4.11	1178	2.68	0.06	90	0	5.6	0	2.8	1.6	1.5	0.5
38	937-1-21	?ytj?rn	38	937-1-21	7.6886	58.6673	1.16	1246	2.85	0.09	38.5	0	15.4	0	6.2	39.9	7.8	0.5
39	938-3-4	Storolavsvatnet	39	938-3-4	7.2834	58.8583	6.53	1725	16.31	1.15	0	0	0	0	12.2	87.8	17.6	1.67
40	940-2-9	HOH 1227	40	940-2-9	7.0988	59.1849	4.66	2562	6.62	0.2	0	0	0	0	4	96	4.3	0.5
