station_id	Station Code	Station name	latitude	longitude	altitude	NVE Vatn nr	NVE Vassdrag nr	Kommune	Fylke Nr	Fylke	Region	Region_2	Region_3	Region 4	lake_area_km2	basin_area_km2	lake_catchm_%	mar_limit	min_elev	mean_elev	max_elev	developed	agriculture	forest	natural_not_forest	peat	glacier	freshwater	sea	nodata	sum	year	resa_id	Uke_19	sample_date_19	Dyp	Uke_95	sample_date_95	LakeTemp_19	2019_ALK	2019_Al/Il	2019_Al/R	2019_Al	2019_Ca	2019_Cl	2019_DOC C	2019_F	2019_Fe	2019_KOND	2019_K	2019_Mg	2019_Mn	2019_NH4-N	2019_NO3-N	2019_Na	2019_PO4-P	2019_SO4	2019_*SO4	2019_SiO2	2019_TOC	2019_CNDOM	2019_CNDOMcorr	2019_TOTN	2019_TON	2019_TONcorr	2019_TOTP	2019_Temp_oC	2019_pH	2019_H	2019_LAL	2019_ALKE	2019_ANC	2019_ANCorg	comment_station	1995_ALK	1995_Al/Il	1995_IlAl_DOM	1995_Al/R	1995_Ca	1995_Cl	1995_F	1995_Fe	1995_KOND	1995_K	1995_Mg	1995_Mn	1995_NH4-N	1995_NO3-N	1995_Na	1995_SO4	1995_*SO4	1995_SiO2	1995_TOC	1995_CNDOM	1995_CNDOMcorr	1995_TOTN	1995_TON	1995_TONcorr	1995_TOTP	1995_pH	1995_H	1995_LAL	1995_ALKE	1995_ANC	1995_ANCorg
9	101-2-7	Hokksj?en	59.0044234	11.56358634	148	3608	001.1A2B	Halden kommune	1	?stfold	2	East (1+2)	East (1+2)	2-East	0.133879174	5.5015	2.433503124	Below	147.1158752	178.9011906	230.807312	0	0.681987178	81.3086704	0	11.69267976	0	6.316662499	0	0	99.99999984	2019	9	43	10.25.2019	6.7	42	10.20.1995	10.6	0.03	220	280	430	0.84	7.63	23	31	760	4.98	0.29	0.58	13	12	48	5	1	1.89	1.194046584	3.73	24.2	46.53846154	45.4887218	580	520	532	10		4.67	21.3796209	60	0	57.38317848	-24.89682152		0.032	141	14.1	202	1.05	6.2	40	750.5	4.08	0.37	0.67	16.4	0	90	4.15	4.8	3.510104086	2.9	10	25.3164557	25.3164557	485	395	395	10	5.03	9.332543008	61	0.808566274	16.23700194	-17.76299806
10	221-1-2	Langtjern	59.80864254	11.85027432	273	3208	314.C	Aurskog-H?land kommune	2	Akershus	2	East (1+2)	East (1+2)	2-East	0.049655776	0.4264	11.64535088	Above	273.8023682	281.2414986	293.661438	0	0	57.5741958	0	30.65255207	0	11.77325379	0	0	100.0000017	2019	10	43	10.25.2019	10.8	42	10.20.1995	9.7	0.054	130	150	280	1.16	1.84	18.2	21	1800	2.04	0.17	0.35	15	6	16	1.64	1	0.61	0.407944862	3.72	20	57.47126437	56.49717514	370	348	354	11		5.09	8.128305162	20	25.45743003	97.04389377	29.04389377		0.042	111	9.487179487	131	1.28	1.9	40	1153.9	2.17	0.14	0.37	18.2	0	46	1.45	3	2.265395372	2.6	11.7	34.51327434	34.51327434	385	339	339	10	5.39	4.073802778	20	12.4832874	41.62292076	1.84292076
11	402-2-13	Sëtertjern	60.06022166	12.44671144	252	4332	313.11	Kongsvinger kommune	4	Hedmark	2	East (1+2)	East (1+2)	2-East	0.119558166	1.5716	7.607417024	Above	251.2689514	288.1379486	350.3750305	0	0	72.95281902	0	14.85950576	0	11.68451871	0	0	99.49684349	2019	11	43	10.25.2019	8.2	42	10.20.1995	8.8	0.057	130	200	340	1.43	1.57	19.2	170	1100	2.11	0.23	0.47	27	24	19	1.51	1	1.1	0.798992576	4.06	20.3	56.8627451	53.2808399	400	357	381	9		5.22	6.025595861	70	28.65573746	114.7543903	45.7343903		0.049	130	10.74380165	182	1.43	1.5	180	953.2	2.14	0.31	0.54	27.7	0	38	1.34	3	2.279892652	3.2	12.1	34.870317	34.870317	385	347	347	8	5.49	3.235936569	52	20.09467965	74.51162036	33.37162036
12	419-1-25	Mj?gsj?en	60.32857753	11.8421862	489	4055	002.F6Z	S?r-Odal kommune	4	Hedmark	2	East (1+2)	East (1+2)	2-East	0.048238585	1.0182	4.737633594	Above	489.4718018	500.6377431	518.397644	0	0	57.8384172	0	37.49931474	0	4.662267813	0	0	99.99999974	2019	12	43	10.25.2019	7.9	42	10.20.1995	7.3	0.03	120	140	280	0.48	0.87	25.2	22	780	2.98	0.11	0.23	12	8	21	0.99	1	0.58	0.41975819	3.36	25.8	67.71653543	66.32390746	410	381	389	10		4.39	40.73802778	20	0	51.20454771	-36.51545229			159	19.875	205	0.55	1	40	807.9	2.6	0.14	0.27	19.9	0	14	1.02	2.7	2.064588506	3.1	8	23.46041056	23.46041056	355	341	341	11	4.44	36.30780548	46	0	12.18297297	-15.01702703
13	425-2-2	Kottern	60.59072946	12.51700849	480	3794	312.1F	èsnes kommune	4	Hedmark	2	East (1+2)	East (1+2)	2-East	0.138393905	2.1259	6.509897227	Above	478.9032593	516.1937062	629.7991943	0	0	76.00811972	0.810883416	12.08226915	0	7.199559431	0	0.057240962	96.15807268	2019	13	43	10.25.2019	9.7	38	09.20.1995	7.9	0.039	120	160	290	0.93	0.72	16.4	51	1100	1.73	0.26	0.27	51	10	42	1	1	0.78	0.580811834	4.89	16.8	52.83018868	51.2195122	370	318	328	11		4.96	10.96478196	40	9.15730999	79.93282663	22.81282663		0.052	115	12.3655914	134	1.2	0.8	60	1356.9	1.56	0.2	0.35	58.5	28	54	1.01	2.6	1.994028564	3.2	9.3	50.81967213	44.07582938	265	183	211	11	5.77	1.698243652	19	23.3177468	59.16656144	27.54656144
14	432-1-26	MÜsabutj?rna	61.8222	11.1834	748	33329	002.JE5	Rendalen kommune	4	Hedmark	1	East (1+2)	East (1+2)	2-East	0.067258107	0.4004	16.79772893	Above	749.067749	762.9709665	826.1500244	0	0	83.50399334	0	0	0	16.49600679	0	0	100.0000001	2019	14	43	10.24.2019	6.5	38	09.20.1995	5	0.055	7	10	23	0.45	0.35	1.9	10	7.6	0.67	0.34	0.13	1.2	11	2	0.51	1	0.72	0.547536668	0.97	1.9	17.75700935	16.10169492	120	107	118	3		6.07	0.851138038	3	26.5249311	39.80819401	33.34819401		0.038	10	6.25	10	0.38	0.3	40		0.79	0.35	0.11	3.2	0	2	0.41	1.9	1.467490092	0.4	1.6	15.23809524	15.23809524	107	105	105	2	5.68	2.089296131	0	8.034265095	6.633109263	1.193109263
15	436-1-7	HOH 1066	62.23615928	11.13619956	1066	35827	002.JHAZ	Tolga kommune	4	Hedmark	1	East (1+2)	East (1+2)	2-East	0.0272955	0.196	13.92627561	Above	1065.166748	1072.353571	1095.706299	0	0	0	86.05290106	0	0	13.94710384	0	0	100.0000049	2019	15	43	10.24.2019		38	09.20.1995	4.3	0.051	8	9	32	0.5	0.15	8.6	8	48	0.61	0.013	0.11	9.7	190	3	0.31	2	0.042	0.027243124	0.53	8	10.70950469	8.537886873	940	747	937	12		5.46	3.467368505	1	22.24533485	56.05832158	28.85832158		0.035	17	2.297297297	23	0.31	0.2	40	28.4	0.59	0.03	0.07	4	0	8	0.26	0.2	0.148368524	0.1	7.4	12.5	12.5	600	592	592	7	5.23	5.888436554	6	4.591165144	22.92770337	-2.23229663
16	438-1-13	Brennvoltj?rna	61.98456162	10.78499212	862	32131	002.M62	Alvdal kommune	4	Hedmark	1	East (1+2)	East (1+2)	2-East	0.059912533	0.6504	9.211644127	Above	862.3944092	878.7121771	935.4073486	0	0	44.97971993	39.76330759	5.035490739	0	10.22148071	0	0	99.99999897	2019	16	43	10.24.2019	2	38	09.20.1995	5.1	0.069	39	45	76	0.84	0.42	3	20	31	0.78	0.094	0.07	3.6	18	5	0.82	1	0.33	0.241546176	2.39	3.2	15.4589372	14.22222222	230	207	225	7		6.21	0.616595002	6	41.35064785	67.95641832	57.07641832		0.04	32	11.03448276	46	0.33	0.2	40	15	0.66	0.1	0.05	4	0	4	0.57	1.3	1.004262922	0.4	2.9	15.59139785	15.59139785	190	186	186	4	5.7	1.995262315	14	10.27228588	14.93785647	5.07785647
17	512-1-26	HOH 1374	62.32794163	9.07993605	1377	34591	002.DJE	Lesja kommune	5	Oppland	8	Middle (8)	Middle (8)	5-Central	0.044964922	0.3595	12.50762794	Above	1374	1385.768846	1431.771362	0	0	0	87.01155376	0	0	12.98844638	0	0	100.0000001	2019	17	39	09.25.2019	3.4	41	10.11.1995	4.7	0.062	5	5	12	0.46	0.34	0.76	33	5.2	0.62	0.29	0.15	0.27	6	1	0.41	1	0.55	0.415624512	0.61	0.96	8.495575221	8.067226891	120	113	119	2		6.2	0.630957344	0	33.9617982	39.86015138	36.59615138		0.046	10	12.19512195	10	0.31	0.4	40		0.48	0.23	0.04	0.5	0	3	0.23	0.6	0.45235421	0.1	0.82	9.534883721	9.534883721	89	86	86	2	6.12	0.758577575	0	16.85139764	10.65676833	7.86876833
18	512-2-7	Kjelsungvatnet	62.24001032	9.14821579	1250	34704	002.DJAAZ	Lesja kommune	5	Oppland	8	Middle (8)	Middle (8)	5-Central	0.12113438	18.4762	0.655623885	Above	1251.09668	1581.577337	2205.836914	0	0	0	96.91075902	0	0	3.08924441	0	0	100.0000034	2019	18	39	09.25.2019	0.8	40	10.01.1995	4.9	0.06	5	5	11	0.73	0.18	0.18	4	7.3	0.61	0.041	0.056	2.1	4	94	0.44	1	0.64	0.491451147	1.36	0.38	9.047619048	8.260869565	140	42	46	1		6.15	0.707945784	0	31.84264061	36.39509047	35.10309047		0.046	10	50	10	0.66	0.3	40		0.75	0.05	0.07	4.2	0	79	0.29	1.5	1.156255765	1.5	0.2	6.896551724	6.896551724	108	29	29	3	6.19	0.645654229	0	16.85139764	7.254097359	6.574097359
19	513-2-18	Nedre S?vertj?rni	61.85860149	7.6852919	1296	29185	002.DHEB	SkjÜk kommune	5	Oppland	8	Middle (8)	Middle (8)	5-Central	0.662920768	15.6421	4.23805479	Above	1298	1504.111289	1756.58728	0	0	0	83.0626894	0	5.805564129	11.13174649	0	0	100	2019	19	42	10.15.2019		38	09.17.1995		0.065	5	5	14	1.05	0.16	0.11	33	8.3	0.65	0.063	0.047	0.47	8	8	0.29	1	0.84	0.647793174	0.58	0.31	18.23529412	12.4	33	17	25	1		6.34	0.45708819	0	37.13341056	48.48489588	47.43089588		0.039	10	50	10	0.34	0.3	40		0.42	0.05	0.03	1.1	0	40	0.2	0.6	0.45597853	0.3	0.2	10.52631579	10.52631579	59	19	19	2	6.02	0.954992586	0	9.15730999	5.602475604	4.922475604
20	513-3-14	Liavatnet	61.849	7.752	733	224	002.DHEC	SkjÜk kommune	5	Oppland	8	Middle (8)	Middle (8)	5-Central	2.614414546	211.3483	1.237017069	Above	733.3806763	1342.464624	2084.600098	0	0.126965343	12.4495084	70.81802882	0.285643118	11.16053653	5.159324206	0	0	100.0000064	2019	20	42	10.15.2019		38	09.17.1995		0.07	5	7	79	1.37	0.19	0.54	43	56	0.97	0.11	0.075	3.3	6	20	0.39	1	1.16	0.89569334	1.57	0.73	33.18181818	26.07142857	48	22	28	1		6.4	0.398107171	2	42.40311559	63.80025067	61.31825067		0.046	10	50	10	0.47	0.3	40	86.1	0.51	0.08	0.05	3.4	0	39	0.23	0.8	0.611595694	0.5	0.2	10	10	59	20	20	2	6.23	0.588843655	0	16.85139764	11.71440703	11.03440703
21	514-2-16	Skuggevatnet	61.59123063	7.99565965	1373	29477	075.CD1B	Lom kommune	5	Oppland	3	Mountains (3)	Mountains (3)	3-Mountains	0.233297713	3.3387	6.987681237	Above	1365.564575	1471.564142	1625.010132	0	0	0	90.15558991	0	0	9.844457492	0	0	100.0000474	2019	21	39	09.25.2019	6.5	38	09.17.1995	4	0.058	5	5	13	0.61	0.13	0.21	4	3.9	0.45	0.093	0.055	0.65	8	1	0.2	1	0.49	0.376550434	0.38	0.53	7.571428571	6.794871795	79	70	78	2		6.2	0.630957344	0	29.7192081	32.67250898	30.87050898		0.039	10	47.61904762	10	0.19	0.2	40		0.34	0.07	0.03	2.1	0	26	0.13	0.4	0.303985687	0.2	0.21	5.25	5.25	66	40	40	2	6	1	0	9.15730999	3.568377349	2.854377349
22	538-1-33	H?gkampvatnet	61.06660673	9.81883005	1194	33180	012.EDAAB	Nordre Land kommune	5	Oppland	1	East (1+2)	East (1+2)	2-East	0.096381514	0.3102	31.07076534	Above	1193.167603	1210.639104	1313.490112	0	0	0	68.10253458	0	0	31.89746273	0	0	99.99999731	2019	22	40	10.02.2019	5.1	38	09.18.1995	5	0.06	5	5	7.8	0.82	0.12	0.7	6	5.3	0.56	0.092	0.16	0.98	5	2	0.24	1	0.68	0.524749172	0.43	1.1	12.5	11.82795699	95	88	93	3		6.18	0.660693448	0	31.84264061	49.54499894	45.80499894		0.04	10	14.08450704	10	0.41	0.2	40		0.63	0.14	0.12	3.2	0	6	0.2	1.6	1.237688667	0.3	0.71	9.861111111	9.861111111	78	72	72	3	5.79	1.621810097	0	10.27228588	3.229032014	0.815032014
23	540-3-13	Nevlingen	60.53726565	9.46391609	574	526	012.GF	S?r-Aurdal kommune	5	Oppland	1	East (1+2)	East (1+2)	2-East	1.577724726	171.7607	0.91855979	Above	571.3022461	889.0929764	1175.49707	0	0.268308386	68.67210563	13.82579226	9.413483241	0	7.820310423	0	0	99.99999994	2019	23	43	10.23.2019	16.6	38	09.21.1995	8.4	0.073	43	50	95	1.37	0.31	3.8	56	58	0.99	0.11	0.18	11	5	18	0.6	1	0.72	0.548986396	2.51	4	31.49606299	30.3030303	150	127	132	2		6.28	0.52480746	7	45.55654693	87.42034663	73.82034663		0.061	49	15.80645161	56	1.19	0.5	60	34.4	1.13	0.13	0.18	14.1	0	15	0.56	2	1.538050034	1.8	3.1	22.96296296	22.96296296	150	135	135	2	6.38	0.416869383	7	32.90272614	45.05750567	34.51750567
